epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_time,val_time,learning_rate
1,2.0946859847719423,1.9997852533610898,0.1996257747631856,0.23666978484565013,90.26266431808472,22.048372745513916,0.0003
2,1.9537522937649878,1.9166620983116662,0.27119635130394104,0.2778297474275023,91.35852313041687,21.823389291763306,0.0003
3,1.878225005452878,1.7591760327566917,0.30803414805285934,0.3461178671655753,91.02888464927673,22.24855637550354,0.0003
4,1.811764125066383,1.733723047953933,0.3296690445561923,0.35734331150608045,92.08582210540771,21.960444450378418,0.0003
5,1.7326710979515147,1.7541939449121258,0.36884574903520057,0.35827876520112256,91.17883086204529,21.87427806854248,0.0003
6,1.6708602856252794,1.489773517224326,0.39480762483920007,0.4536950420954163,91.38303875923157,21.93951153755188,0.0003
7,1.5919305912802153,1.771009357034493,0.4246286983978482,0.3461178671655753,90.83509087562561,21.880841970443726,0.0003
8,1.5562235494640386,1.428967349842858,0.43585545550228044,0.4724041159962582,91.16759467124939,21.93924903869629,0.0003
9,1.4717812906915897,1.5138534948007385,0.47035434452110864,0.45650140318054255,91.28217101097107,22.05286192893982,0.0003
10,1.4304798785771164,1.415195848403582,0.48041164776049583,0.49579045837231056,91.21668195724487,21.964300632476807,0.0003
11,1.3749406843541938,1.18949494509499,0.5085954859080809,0.5594013096351731,91.51689982414246,21.955764770507812,0.0003
12,1.306973863427884,1.2303577645389892,0.5304642731844229,0.5556594948550047,91.41521787643433,21.938098430633545,0.0003
13,1.2516713574667957,0.9615135031627186,0.5523330604607648,0.646398503274088,91.6368203163147,21.83672547340393,0.0003
14,1.2151612570352643,1.2414186534596914,0.5663665068413051,0.5575304022450889,91.52911138534546,21.63971734046936,0.0003
15,1.165269418297527,0.9002914001970593,0.5936147818968541,0.6744621141253508,91.84655714035034,21.50819420814514,0.0003
16,1.1137777739039092,0.9069164671184523,0.611273535259034,0.6604303086997194,91.03001737594604,21.61792755126953,0.0003
17,1.0661461932079814,0.7817798956061033,0.6225002923634663,0.7221702525724977,92.15002870559692,21.62922978401184,0.0003
18,1.0253024809271376,0.7850799022186825,0.6405098818851597,0.7315247895229187,91.1325855255127,21.744433641433716,0.0003
19,1.0097670101116751,0.8569142856329346,0.6489299497134838,0.695977549111319,91.655344247818,21.881375074386597,0.0003
20,0.954808207872872,0.7425091331268647,0.6685767746462402,0.7184284377923292,91.35307312011719,21.957379579544067,0.0003
21,0.9168486781209428,0.7739483279857173,0.6780493509531049,0.7324602432179607,92.19546461105347,21.98119878768921,0.0003
22,0.8728431596934239,0.8825709736044172,0.6992164659104199,0.6856875584658559,91.43294787406921,22.064334630966187,0.0003
23,0.854333675241916,0.7278410720903037,0.6989825751374108,0.7427502338634238,92.08618521690369,22.091604709625244,0.0003
24,0.8345990067887529,0.6387183431383056,0.7131329669044556,0.7708138447146866,91.57694411277771,21.894848346710205,0.0003
