epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_kappa,train_mcc,train_specificity,train_balanced_accuracy,train_auc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_kappa,val_mcc,val_specificity,val_balanced_accuracy,val_auc
1,2.0946859847719423,0.1996257747631856,0.18223713013300838,0.1996257747631856,0.1647914912586235,0.08635449300370046,0.09012492064003474,0.8984210513836268,0.1836253458199755,0.6219567629835117,1.9997852533610898,0.23666978484565013,0.2332678168536395,0.23666978484565013,0.1768768213785298,0.1371724351448047,0.1499131775551421,0.9041544153354256,0.22982226536612385,0.7142047090826567
2,1.9537522937649878,0.27119635130394104,0.23572147934972137,0.27119635130394104,0.22501488070865328,0.1711521206930745,0.17719795214966416,0.9078116724366008,0.25849973876940396,0.6965344703243669,1.9166620983116662,0.2778297474275023,0.28029342397743007,0.2778297474275023,0.2066234115285066,0.17644581625637057,0.1955896119905374,0.908393271856424,0.2599168282779049,0.7378117997559337
3,1.878225005452878,0.30803414805285934,0.29094953460497747,0.30803414805285934,0.2699290930090975,0.21399548256400724,0.21907427570286284,0.9125949617305965,0.29480286244290976,0.7299713835187451,1.7591760327566917,0.3461178671655753,0.35542833075539876,0.3461178671655753,0.3152068004021553,0.2586861670148872,0.2635544249434921,0.917516809028649,0.33821677146043827,0.7844508762739878
4,1.811764125066383,0.3296690445561923,0.30961446341751064,0.3296690445561923,0.30026182849363403,0.2392033820777033,0.24330241191988983,0.9154073374471972,0.31698820873801165,0.7554914256875942,1.733723047953933,0.35734331150608045,0.4104646652226611,0.35734331150608045,0.32551838934921773,0.27219311380954414,0.2876192700276787,0.9190659278808962,0.34896263622587287,0.8065240056112263
5,1.7326710979515147,0.36884574903520057,0.3497198759354103,0.36884574903520057,0.3483590539241271,0.2851682645683119,0.28777977291295315,0.9205318198195427,0.3594571202501537,0.7804215758126758,1.7541939449121258,0.35827876520112256,0.3540038328352188,0.35827876520112256,0.3100673783904916,0.27477761240524723,0.2875089388010237,0.9194991936147723,0.3487049053891625,0.801817403334795
6,1.6708602856252794,0.39480762483920007,0.3778281810025313,0.39480762483920007,0.3775637788030027,0.315178948192379,0.3172805883546483,0.9238752426084985,0.3868685490179392,0.799338002115808,1.489773517224326,0.4536950420954163,0.4360240917808643,0.4536950420954163,0.42436502148484717,0.3836834503680844,0.3878865081938843,0.9315648861601168,0.45051471623715716,0.8509876447698559
7,1.5919305912802153,0.4246286983978482,0.40755182643034044,0.4246286983978482,0.4077994598053473,0.34941126099479813,0.3514475963063944,0.9276860506869907,0.41823111477089636,0.8208442750900349,1.771009357034493,0.3461178671655753,0.40959187468498065,0.3461178671655753,0.3238242288208958,0.2672144024838361,0.2806997932102366,0.9187390725720055,0.35307349907077573,0.8311046267621801
8,1.5562235494640386,0.43585545550228044,0.4217752287716557,0.43585545550228044,0.4221921536346139,0.36224862870393415,0.3638411240771594,0.9291058518947476,0.43049159172838886,0.8302493849504312,1.428967349842858,0.4724041159962582,0.5146141438771553,0.4724041159962582,0.4519822968568082,0.3994214517099449,0.41251990360708196,0.9329391370272364,0.46008096351135286,0.8729226810817917
9,1.4717812906915897,0.47035434452110864,0.45580188318310316,0.47035434452110864,0.456901759009957,0.4013172958989807,0.4028571194012342,0.9334450824318908,0.4649223028615326,0.8487817797363602,1.5138534948007385,0.45650140318054255,0.5694748212363091,0.45650140318054255,0.4653247464094941,0.38849150361289675,0.39510056172920005,0.9322120602633708,0.455932322217409,0.8801252058580733
10,1.4304798785771164,0.48041164776049583,0.46707371013783044,0.48041164776049583,0.4691888439196366,0.4129474167385415,0.414080545805064,0.9347344419963893,0.47661557050345493,0.8579400411165723,1.415195848403582,0.49579045837231056,0.6336578014849319,0.49579045837231056,0.5074572626385663,0.4339025181022371,0.45170085534687193,0.9372014229444707,0.5050074654751995,0.898203672079148
11,1.3749406843541938,0.5085954859080809,0.4959554326035856,0.5085954859080809,0.49762501713863433,0.4447553784070548,0.4459183968450309,0.9382715495670241,0.5040226038542648,0.8698001693720404,1.18949494509499,0.5594013096351731,0.5823257878036493,0.5594013096351731,0.5335902677192049,0.4992650568859893,0.5115247062757584,0.943958039479309,0.5526177506773379,0.9151362693084535
12,1.306973863427884,0.5304642731844229,0.520269227440176,0.5304642731844229,0.52131003445132,0.4695271077404811,0.47053857145136735,0.9410183369036486,0.5265000874798479,0.8824710296433756,1.2303577645389892,0.5556594948550047,0.5986565411323402,0.5556594948550047,0.5499639178536414,0.49994091173197563,0.5046342337181877,0.9445211416437519,0.5607439643465795,0.9092207155227615
13,1.2516713574667957,0.5523330604607648,0.5441151052229626,0.5523330604607648,0.5446079472558408,0.4942806042227067,0.49514012775812416,0.9437605238730958,0.5487696164609673,0.8921973593724802,0.9615135031627186,0.646398503274088,0.6582499670846946,0.646398503274088,0.6259225686919188,0.5998613662357467,0.6054330746850759,0.9553676058136504,0.641470696980444,0.9454494223286053
14,1.2151612570352643,0.5663665068413051,0.5581930631180974,0.5663665068413051,0.5599391305944945,0.5103726687980499,0.5109517958348577,0.9455642609182439,0.5638535965078594,0.8987640164334145,1.2414186534596914,0.5575304022450889,0.6481400625337498,0.5575304022450889,0.5381847564312833,0.49884930105693825,0.5146080740075712,0.9441576419759047,0.5506929128054364,0.9229030478420062
15,1.165269418297527,0.5936147818968541,0.5856203159430049,0.5936147818968541,0.5868287243581243,0.5410884750072138,0.5417899055649369,0.948983384269439,0.5902268211435207,0.9061991295117219,0.9002914001970593,0.6744621141253508,0.7004938755098133,0.6744621141253508,0.6626606153336613,0.6333907209454273,0.6384870974805013,0.9592771793283544,0.6801046873674684,0.9543125243221228
