epoch,accuracy_gap,loss_gap
1,0.037044010082464524,0.09490073141085253
2,0.006633396123561286,0.037090195453321595
3,0.038083719112715964,0.1190489726961863
4,0.02767426694988817,0.07804107711245001
5,0.010566983834078003,0.02152284696061102
6,0.05888741725621621,0.1810867684009534
7,0.07851083123227293,0.1790787657542776
8,0.03654866049397776,0.12725619962118073
9,0.013852941340566083,0.0420722041091488
10,0.01537881061181473,0.015284030173534413
11,0.05080582372709219,0.1854457392592037
12,0.025195221670581747,0.07661609888889487
13,0.09406544281332319,0.29015785430407715
14,0.008836104596216199,0.026257396424427037
15,0.08084733222849672,0.2649780181004676
16,0.049156773440685364,0.2068613067854569
17,0.0996699602090314,0.28436629760187815
18,0.09101490763775899,0.2402225787084551
19,0.047047599397835205,0.15285272447874054
20,0.04985166314608902,0.2122990747460073
21,0.05441089226485574,0.1429003501352255
22,0.01352890744456392,0.00972781391099331
23,0.04376765872601296,0.12649260315161226
24,0.05768087781023101,0.19588066365044732
25,0.10959708102564936,0.3432946531516765
26,0.03920339734552569,0.13027225460046266
27,0.006752201258962476,0.03860754148341805
28,0.11111376094940839,0.31605902103672634
29,0.04037044447670435,0.1226618057692398
30,0.0901272604290616,0.46084703906265667
31,0.03136291479100961,0.12383260273304852
32,0.10152161372818502,0.2743852961228137
33,0.06375186398803023,0.18825486894357368
34,0.0975443766170927,0.2771719773753726
35,0.09099543497284057,0.24948311901944287
36,0.06784210819384584,0.17403238796953235
37,0.08187303844352578,0.23314576631536366
38,0.05907043842705073,0.20588757028259036
39,0.057081710474510605,0.18100221191038862
40,0.04316674103838969,0.09909855379265858
41,0.08713262711739245,0.2293906263737594
42,0.10560737265724973,0.28780075995848586
43,0.0909900745201383,0.26111196411623205
44,0.07602172142952557,0.23526853814917983
45,0.08712890761959913,0.2564991477527554
46,0.08771418153709121,0.24824484322294507
47,0.07356466494599778,0.21469369499795662
48,0.06804110132579311,0.22304351828001462
49,0.08139748971093919,0.22595176290299257
50,0.07601898650467742,0.2286256483002964
51,0.06385710389618493,0.19411535451061432
52,0.05274816735420851,0.14860470055101793
53,0.05333333187470668,0.13404086023514075
54,0.03848148658262285,0.12244576502655286
55,0.06502218188147302,0.18303253539025907
56,0.06127982011633504,0.16982358439748357
57,0.059057529581767576,0.16705859292352088
58,0.0514570640319203,0.14949662813109743
59,0.05133946226345232,0.14853690192494984
60,0.03368289684115089,0.10493268323090199
61,0.03438435036619003,0.09920647675036841
62,0.04420546549569582,0.12700005180350657
63,0.033563763514767975,0.10703106623657586
64,0.04303590223365683,0.11926423208254845
65,0.03765641445444978,0.10998990139146277
66,0.040229322354542685,0.11469229346466078
67,0.03391416208630571,0.09740884680554698
68,0.036486960589404704,0.09698790977142421
69,0.03286165360776516,0.09305615716121654
70,0.029119620033608906,0.08830731448029537
71,0.034499107812816066,0.09378839675788696
72,0.03379721669980118,0.10339057765016478
73,0.03239409085573497,0.09684978513799686
74,0.02935329201263015,0.08553671728631757
75,0.031224636990690002,0.09094440097442384
76,0.03309565377776813,0.09330408094171926
77,0.02853467430709855,0.08225797133646633
78,0.02876856508010761,0.07655952368894725
79,0.025377148871477018,0.07474470221831855
80,0.025260203484972488,0.07211018694654903
81,0.025961875803999557,0.07712561641919022
82,0.021517951116828415,0.06457424113733982
83,0.02397380423342299,0.07070391315344449
84,0.02409074961992752,0.0748477027544969
85,0.02420769500643205,0.07216147392196542
86,0.022570459595368964,0.06363440473699719
87,0.021167114957314936,0.061936854824668534
88,0.02409074961992752,0.0752159432928519
89,0.022921295754882443,0.07103848195290148
90,0.021517951116828415,0.06532729722817068
91,0.02350602268740498,0.07243207663812806
92,0.021634896503332945,0.06442694181013278
93,0.01917904338673837,0.05473004480702342
94,0.01988071570576544,0.06346028910804367
95,0.022453514208864433,0.05989444243039182
96,0.015319845632089768,0.04969804529445076
97,0.01952987954625185,0.055846350323757614
98,0.0192959887732429,0.057226859961235624
99,0.01871126184072036,0.05653445286181911
100,0.018243480294702352,0.061924705654997046
